Model,Error_Type,Entity_Type,Gold_Text,Model_Text,Description
ChatGPT,TP,placeName,Tenedo,Tenedo,Correct Match
ChatGPT,TP,placeName,Pera,Pera,Correct Match
ChatGPT,TP,placeName,Pera,Pera,Correct Match
ChatGPT,TP,placeName,Pera,Pera,Correct Match
ChatGPT,TP,placeName,Pera,Pera,Correct Match
ChatGPT,TP,placeName,Pera,Pera,Correct Match
ChatGPT,TP,placeName,Pera,Pera,Correct Match
ChatGPT,TP,placeName,Pera,Pera,Correct Match
ChatGPT,TP,placeName,Costantinopoli,Costantinopoli,Correct Match
ChatGPT,TP,placeName,Costantinopoli,Costantinopoli,Correct Match
ChatGPT,TP,placeName,Costantinopoli,Costantinopoli,Correct Match
ChatGPT,TP,placeName,Costantinopoli,Costantinopoli,Correct Match
ChatGPT,TP,placeName,Costantinopoli,Costantinopoli,Correct Match
ChatGPT,TP,placeName,Costantinopoli,Costantinopoli,Correct Match
ChatGPT,TP,placeName,Costantinopoli,Costantinopoli,Correct Match
ChatGPT,TP,placeName,Costantinopoli,Costantinopoli,Correct Match
ChatGPT,TP,placeName,Costantinopoli,Costantinopoli,Correct Match
ChatGPT,TP,placeName,Costantinopoli,Costantinopoli,Correct Match
ChatGPT,TP,placeName,Costantinopoli,Costantinopoli,Correct Match
ChatGPT,TP,placeName,Costantinopoli,Costantinopoli,Correct Match
ChatGPT,TP,placeName,Costantinopoli,Costantinopoli,Correct Match
ChatGPT,TP,placeName,Costantinopoli,Costantinopoli,Correct Match
ChatGPT,TP,placeName,Costantinopoli,Costantinopoli,Correct Match
ChatGPT,TP,placeName,Costantinopoli,Costantinopoli,Correct Match
ChatGPT,TP,placeName,Costantinopoli,Costantinopoli,Correct Match
ChatGPT,TP,placeName,Costantinopoli,Costantinopoli,Correct Match
ChatGPT,TP,placeName,Costantinopoli,Costantinopoli,Correct Match
ChatGPT,TP,placeName,Costantinopoli,Costantinopoli,Correct Match
ChatGPT,TP,placeName,Costantinopoli,Costantinopoli,Correct Match
ChatGPT,TP,placeName,Costantinopoli,Costantinopoli,Correct Match
ChatGPT,TP,placeName,Costantinopoli,Costantinopoli,Correct Match
ChatGPT,TP,placeName,Costantinopoli,Costantinopoli,Correct Match
ChatGPT,TP,persName,Gautier,Gautier,Correct Match
ChatGPT,TP,persName,Gautier,Gautier,Correct Match
ChatGPT,TP,persName,Maometto II,Maometto II,Correct Match
ChatGPT,FN,placeName,il serraglio di Tekyr,MISSING,Missed (FN)
ChatGPT,TP,placeName,moschea di Maometto II,moschea di Maometto II,Correct Match
ChatGPT,TP,persName,Chateaubriand,Chateaubriand,Correct Match
ChatGPT,TP,persName,Chateaubriand,Chateaubriand,Correct Match
ChatGPT,TP,placeName,Sultano Ahmed,Sultano Ahmed,Correct Match
ChatGPT,TP,placeName,Morea,Morea,Correct Match
ChatGPT,TP,placeName,arsenale di Tophanè,arsenale di Tophanè,Correct Match
ChatGPT,FP,placeName,MISSING,stretto di Messina,Spurious (FP)
ChatGPT,TP,ethnic,armeni,armeni,Correct Match
ChatGPT,TP,placeName,Kadi-Kioi,Kadi-Kioi,Correct Match
ChatGPT,TP,placeName,Kadi-Kioi,Kadi-Kioi,Correct Match
ChatGPT,TP,placeName,Senna,Senna,Correct Match
ChatGPT,TP,placeName,Lemno,Lemno,Correct Match
ChatGPT,TP,ethnic,francese,francese,Correct Match
ChatGPT,TP,ethnic,francese,francese,Correct Match
ChatGPT,TP,persName,Lamartine,Lamartine,Correct Match
ChatGPT,TP,persName,Lamartine,Lamartine,Correct Match
ChatGPT,TP,persName,Lamartine,Lamartine,Correct Match
ChatGPT,TP,placeName,Santa Sofia,Santa Sofia,Correct Match
ChatGPT,TP,placeName,Santa Sofia,Santa Sofia,Correct Match
ChatGPT,TP,placeName,moschea del Sultano Ahmed,moschea del Sultano Ahmed,Correct Match
ChatGPT,TP,placeName,moschea di Laleli,moschea di Laleli,Correct Match
ChatGPT,TP,ethnic,greci,greci,Correct Match
ChatGPT,TP,ethnic,greci,greci,Correct Match
ChatGPT,FN,placeName,Messina,MISSING,Missed (FN)
ChatGPT,TP,persName,Perthusier,Perthusier,Correct Match
ChatGPT,FP,placeName,MISSING,Corno d'oro,Spurious (FP)
ChatGPT,FP,placeName,MISSING,Corno d'oro,Spurious (FP)
ChatGPT,FP,placeName,MISSING,Corno d'oro,Spurious (FP)
ChatGPT,FP,placeName,MISSING,Corno d'oro,Spurious (FP)
ChatGPT,FP,placeName,MISSING,Corno d'oro,Spurious (FP)
ChatGPT,TP,persName,Yunk,Yunk,Correct Match
ChatGPT,TP,persName,Yunk,Yunk,Correct Match
