Model,Category,Content,Frequency
Copilot Smart (GPT-5),Character Error,'’' -> ''',122
Copilot Smart (GPT-5),Character Error,'—' -> '-',40
Copilot Smart (GPT-5),Character Error,'i' -> 'ì',1
Copilot Smart (GPT-5),Character Error,'c' -> 'e',1
Copilot Smart (GPT-5),Missed Word,—,51
Copilot Smart (GPT-5),Missed Word,d’un,7
Copilot Smart (GPT-5),Missed Word,d’ogni,5
Copilot Smart (GPT-5),Missed Word,d’una,5
Copilot Smart (GPT-5),Missed Word,"d’oro,",4
Copilot Smart (GPT-5),Missed Word,"—,",4
Copilot Smart (GPT-5),Missed Word,s’era,4
Copilot Smart (GPT-5),Missed Word,—;,4
Copilot Smart (GPT-5),Missed Word,d’andare,3
Copilot Smart (GPT-5),Missed Word,c’era,3
Copilot Smart (GPT-5),Missed Word,l’arcipelago,2
Copilot Smart (GPT-5),Missed Word,all’alba,2
Copilot Smart (GPT-5),Missed Word,all’ultimo,2
Copilot Smart (GPT-5),Missed Word,dall’altra,2
Copilot Smart (GPT-5),Missed Word,un’ora,2
Copilot Smart (GPT-5),Missed Word,dell’entrata,2
Copilot Smart (GPT-5),Missed Word,s’alzano,2
Copilot Smart (GPT-5),Missed Word,l’arrivo,1
Copilot Smart (GPT-5),Missed Word,l’emozione,1
Copilot Smart (GPT-5),Missed Word,all’imboccatura,1
Copilot Smart (GPT-5),Hallucination (Added),-,49
Copilot Smart (GPT-5),Hallucination (Added),d'un,7
Copilot Smart (GPT-5),Hallucination (Added),"-,",5
Copilot Smart (GPT-5),Hallucination (Added),d'ogni,5
Copilot Smart (GPT-5),Hallucination (Added),d'una,5
Copilot Smart (GPT-5),Hallucination (Added),-;,5
Copilot Smart (GPT-5),Hallucination (Added),"d'oro,",4
Copilot Smart (GPT-5),Hallucination (Added),s'era,4
Copilot Smart (GPT-5),Hallucination (Added),d'andare,3
Copilot Smart (GPT-5),Hallucination (Added),c'era,3
Copilot Smart (GPT-5),Hallucination (Added),l'arcipelago,2
Copilot Smart (GPT-5),Hallucination (Added),all'alba,2
Copilot Smart (GPT-5),Hallucination (Added),all'ultimo,2
Copilot Smart (GPT-5),Hallucination (Added),:,2
Copilot Smart (GPT-5),Hallucination (Added),dall'altra,2
Copilot Smart (GPT-5),Hallucination (Added),un',2
Copilot Smart (GPT-5),Hallucination (Added),«,2
Copilot Smart (GPT-5),Hallucination (Added),la,2
Copilot Smart (GPT-5),Hallucination (Added),mare.,2
Copilot Smart (GPT-5),Hallucination (Added),dell'entrata,2
Gemini 3 Pro,Character Error,''' -> '’',9
Gemini 3 Pro,Character Error,'a' -> 'e',1
Gemini 3 Pro,Character Error,'é' -> 'è',1
Gemini 3 Pro,Missed Word,"d'oro,",4
Gemini 3 Pro,Missed Word,"marmara,",3
Gemini 3 Pro,Missed Word,l'antica,3
Gemini 3 Pro,Missed Word,"mare,",3
Gemini 3 Pro,Missed Word,un’ora,2
Gemini 3 Pro,Missed Word,—,2
Gemini 3 Pro,Missed Word,dell’entrata,2
Gemini 3 Pro,Missed Word,"noi,",2
Gemini 3 Pro,Missed Word,s’era,2
Gemini 3 Pro,Missed Word,"europea,",2
Gemini 3 Pro,Missed Word,s'innalzano,2
Gemini 3 Pro,Missed Word,gridò:,2
Gemini 3 Pro,Missed Word,"mondo,",2
Gemini 3 Pro,Missed Word,la,2
Gemini 3 Pro,Missed Word,"scutari,",2
Gemini 3 Pro,Missed Word,e,2
Gemini 3 Pro,Missed Word,l’arrivo,1
Gemini 3 Pro,Missed Word,"tenedo,",1
Gemini 3 Pro,Missed Word,"viaggio,",1
Gemini 3 Pro,Missed Word,m’esca,1
Gemini 3 Pro,Hallucination (Added),",",90
Gemini 3 Pro,Hallucination (Added),d’,13
Gemini 3 Pro,Hallucination (Added),s’,9
Gemini 3 Pro,Hallucination (Added),un’,7
Gemini 3 Pro,Hallucination (Added),;,7
Gemini 3 Pro,Hallucination (Added),l’,5
Gemini 3 Pro,Hallucination (Added),dell’,5
Gemini 3 Pro,Hallucination (Added),!,4
Gemini 3 Pro,Hallucination (Added),:,4
Gemini 3 Pro,Hallucination (Added),era,4
Gemini 3 Pro,Hallucination (Added),dall’,3
Gemini 3 Pro,Hallucination (Added),marmara,3
Gemini 3 Pro,Hallucination (Added),l’antica,3
Gemini 3 Pro,Hallucination (Added),mare,3
Gemini 3 Pro,Hallucination (Added),nell’,3
Gemini 3 Pro,Hallucination (Added),m’,2
Gemini 3 Pro,Hallucination (Added),un,2
Gemini 3 Pro,Hallucination (Added),anch’,2
Gemini 3 Pro,Hallucination (Added),altra,2
Gemini 3 Pro,Hallucination (Added),ora,2
Claude Sonnet 4.5,Character Error,'’' -> ''',128
Claude Sonnet 4.5,Character Error,';' -> ':',2
Claude Sonnet 4.5,Character Error,'n' -> 'm',1
Claude Sonnet 4.5,Character Error,'é' -> 'è',1
Claude Sonnet 4.5,Character Error,'e' -> 's',1
Claude Sonnet 4.5,Character Error,'e' -> 'a',1
Claude Sonnet 4.5,Missed Word,d’un,7
Claude Sonnet 4.5,Missed Word,d’ogni,5
Claude Sonnet 4.5,Missed Word,d’una,5
Claude Sonnet 4.5,Missed Word,"d’oro,",4
Claude Sonnet 4.5,Missed Word,s’era,4
Claude Sonnet 4.5,Missed Word,d’andare,3
Claude Sonnet 4.5,Missed Word,c’era,3
Claude Sonnet 4.5,Missed Word,l’arcipelago,2
Claude Sonnet 4.5,Missed Word,all’alba,2
Claude Sonnet 4.5,Missed Word,all’ultimo,2
Claude Sonnet 4.5,Missed Word,dall’altra,2
Claude Sonnet 4.5,Missed Word,un’ora,2
Claude Sonnet 4.5,Missed Word,dell’entrata,2
Claude Sonnet 4.5,Missed Word,s’alzano,2
Claude Sonnet 4.5,Missed Word,l’arrivo,1
Claude Sonnet 4.5,Missed Word,l’emozione,1
Claude Sonnet 4.5,Missed Word,all’imboccatura,1
Claude Sonnet 4.5,Missed Word,"d’atene,",1
Claude Sonnet 4.5,Missed Word,d’immaginazione,1
Claude Sonnet 4.5,Missed Word,m’esca,1
Claude Sonnet 4.5,Hallucination (Added),d'un,7
Claude Sonnet 4.5,Hallucination (Added),d'ogni,5
Claude Sonnet 4.5,Hallucination (Added),d'una,5
Claude Sonnet 4.5,Hallucination (Added),"d'oro,",4
Claude Sonnet 4.5,Hallucination (Added),s'era,4
